hour,mean,median,max
0,7208.517132165024,6967.75,22467.1
1,6663.884236947792,6435.4,21117.2
2,6319.929207740051,6128.1,19950.2
3,6163.650438116101,6013.85,19302.8
4,6211.503057685287,6063.25,19199.7
5,6472.374142022635,6349.3,19763.2
6,7026.709191310698,6939.7,21927.3
7,7719.649306316173,7709.25,24795.9
8,8335.850474625775,8267.25,27452.899999999998
9,8892.948247535596,8729.55,29556.6
10,9386.81811792625,9137.95,31054.5
11,9775.941611902153,9500.150000000001,32288.399999999998
12,9923.76169222344,9610.3,32941.0
13,9924.59962577583,9543.9,33566.5
14,9958.06479554582,9534.3,33712.2
15,10151.778249361081,9753.650000000001,33617.200000000004
16,10524.189065352319,10224.55,33203.0
17,10896.345819642205,10713.8,32709.0
18,11029.474196787149,11003.5,32295.9
19,10927.348402701715,10992.5,31603.4
20,10615.85326761592,10612.5,30996.5
21,9932.43121577218,9837.75,29075.8
22,8961.730759401242,8795.7,26280.8
23,8001.856270536692,7768.6,23847.699999999997
